epoch,train_loss,train_MAE,train_RMSE,train_R2,val_loss,val_MAE,val_RMSE,val_R2,lr,time_s
1,355.8082,12.4539,18.873,-0.388,146.1831,8.015,12.1084,0.4311,3e-05,50.98
2,150.6014,8.5889,12.2784,0.4125,95.6084,7.1574,9.7737,0.6293,3e-05,52.47
3,124.9702,8.0033,11.1961,0.5115,75.861,6.6959,8.6886,0.7071,3e-05,52.7
4,117.0238,7.6935,10.82,0.5438,95.8169,7.4733,9.7844,0.6285,3e-05,51.65
5,110.2046,7.7433,10.4727,0.5726,78.2394,6.4916,8.845,0.6964,3e-05,50.9
6,102.487,7.4814,10.1325,0.5999,81.1872,6.2375,9.0162,0.6846,3e-05,48.78
7,107.0742,7.5582,10.353,0.5823,105.4523,6.3011,10.2688,0.5908,3e-05,48.41
8,102.2657,7.4932,10.127,0.6004,96.9987,6.6165,9.8499,0.6235,3e-05,48.52
9,96.3074,7.2207,9.7915,0.6264,95.0282,6.5247,9.7425,0.6317,1.5e-05,48.26
10,95.0198,7.2501,9.7608,0.6287,103.3617,6.2831,10.1729,0.5984,1.5e-05,48.53
11,83.4604,6.8565,9.1317,0.6751,110.462,6.7079,10.53,0.5698,1.5e-05,48.8
12,85.0437,6.7683,9.2331,0.6678,104.1117,5.9873,10.2165,0.595,1.5e-05,48.43
13,83.5128,6.7565,9.1415,0.6744,77.247,5.6524,8.7917,0.7001,1.5e-05,48.68
14,84.5436,6.6426,9.2068,0.6697,108.8762,6.3649,10.4489,0.5764,1.5e-05,48.49
15,83.3281,6.6617,9.1345,0.6749,84.6171,6.188,9.2011,0.6715,7.5e-06,48.56
16,79.7698,6.4734,8.9387,0.6886,83.1258,5.5593,9.122,0.6771,7.5e-06,48.05
17,81.78,6.5213,9.0189,0.683,81.7797,5.7393,9.0518,0.6821,7.5e-06,49.14
18,72.8149,6.2226,8.517,0.7173,89.6625,5.6784,9.48,0.6513,7.5e-06,48.49
19,76.9336,6.3971,8.7834,0.6994,82.4282,5.4351,9.0826,0.6799,7.5e-06,48.63
20,82.3355,6.5645,9.0803,0.6787,96.1239,6.176,9.8144,0.6262,7.5e-06,49.07
21,76.4539,6.4513,8.7541,0.7014,66.3821,5.2332,8.1448,0.7426,7.5e-06,48.7
22,78.6165,6.3473,8.8455,0.6951,67.2013,5.2576,8.1912,0.7396,7.5e-06,47.9
23,70.7194,6.2615,8.3787,0.7264,92.355,5.4985,9.6087,0.6417,7.5e-06,49.04
24,72.0673,6.0984,8.4856,0.7194,66.7111,5.0261,8.1557,0.7419,7.5e-06,48.82
25,71.1978,6.1,8.4191,0.7238,65.9153,5.3648,8.1155,0.7444,7.5e-06,48.63
26,77.3412,6.3167,8.803,0.698,66.1942,5.341,8.1292,0.7436,7.5e-06,48.45
27,72.0638,6.1332,8.4944,0.7188,63.0711,5.3302,7.934,0.7557,7.5e-06,48.55
28,69.212,6.0357,8.3287,0.7297,66.849,5.3375,8.173,0.7408,7.5e-06,48.83
29,71.4866,6.0319,8.441,0.7224,63.1114,5.3677,7.9389,0.7554,7.5e-06,48.68
30,73.9691,6.0605,8.5886,0.7126,64.4147,5.6096,8.0204,0.7504,7.5e-06,48.44
31,68.6138,6.0525,8.2772,0.733,65.5163,5.0962,8.0873,0.7462,7.5e-06,48.37
32,78.7641,6.1889,8.8791,0.6928,84.957,5.31,9.2138,0.6706,7.5e-06,48.42
33,64.5988,5.8579,8.0367,0.7483,68.7907,5.6486,8.2906,0.7333,3.75e-06,48.07
34,66.4087,5.729,8.1418,0.7417,78.9933,6.0383,8.8856,0.6936,3.75e-06,48.3
35,68.0322,5.9053,8.2078,0.7375,75.8854,5.3786,8.7142,0.7053,3.75e-06,48.57
36,60.9637,5.6645,7.8087,0.7624,58.9331,4.916,7.6675,0.7719,3.75e-06,47.89
37,67.5743,5.9423,8.2206,0.7367,65.9012,5.0887,8.1085,0.7449,3.75e-06,47.99
38,62.2616,5.6763,7.8975,0.757,63.815,5.084,7.9779,0.753,3.75e-06,48.68
39,67.9442,5.9678,8.2503,0.7348,67.0537,5.1709,8.1851,0.74,3.75e-06,48.72
40,66.2905,5.772,8.1493,0.7412,62.6688,5.3565,7.9166,0.7568,3.75e-06,48.33
41,67.2988,5.8908,8.1767,0.7395,63.6207,5.2108,7.9727,0.7534,3.75e-06,48.49
42,63.8203,5.7744,7.976,0.7521,58.6006,4.9847,7.6462,0.7731,3.75e-06,48.73
43,70.4925,5.9944,8.3977,0.7252,58.2814,4.8939,7.6227,0.7745,3.75e-06,48.33
